ts_local,series,ticker,ignored,buy_count,cost_cents,fee_cost_cents,fill_side,is_taker,pnl_cents,contract_cost,percent_gain
2026-04-13T12:45:19.885231-07:00,KXBTC15M,KXBTC15M-26APR131545-45,no,1,98.9,0.1,yes,true,1.0999999999999943,98.9,1.112235
2026-04-13T13:00:19.318958-07:00,KXETH15M,KXETH15M-26APR131600-00,no,1,97.89999999999999,0.1,yes,false,2.1000000000000085,97.9,2.145046
2026-04-13T13:00:19.328303-07:00,KXBTC15M,KXBTC15M-26APR131600-00,no,1,96.5,0.5,yes,true,3.5,96.5,3.626943
2026-04-13T13:15:19.868949-07:00,KXSOL15M,KXSOL15M-26APR131615-15,no,2,196.8,1.2,no,false,3.1999999999999886,98.4,1.626016
2026-04-13T13:15:19.870490-07:00,KXETH15M,KXETH15M-26APR131615-15,no,1,98.3,0.7,no,false,1.7000000000000028,98.3,1.7294
2026-04-13T13:15:19.884373-07:00,KXBTC15M,KXBTC15M-26APR131615-15,no,1,98.4,0.6,no,false,1.5999999999999943,98.4,1.626016
2026-04-13T13:30:09.879682-07:00,KXBTC15M,KXBTC15M-26APR131630-30,no,2,195.6,0.4,no,false,4.400000000000006,97.8,2.249489
2026-04-13T13:30:09.883053-07:00,KXETH15M,KXETH15M-26APR131630-30,no,1,98.1,0.9,yes,false,1.9000000000000057,98.1,1.936799
2026-04-13T13:30:09.883661-07:00,KXSOL15M,KXSOL15M-26APR131630-30,no,1,98.1,0.9,yes,false,1.9000000000000057,98.1,1.936799
2026-04-13T13:45:19.921050-07:00,KXSOL15M,KXSOL15M-26APR131645-45,no,1,98.0,1.0,yes,true,2.0,98.0,2.040816
2026-04-13T13:45:19.931983-07:00,KXBTC15M,KXBTC15M-26APR131645-45,no,1,97.39999999999999,0.6,yes,false,2.6000000000000085,97.4,2.669405
2026-04-13T13:45:19.936101-07:00,KXETH15M,KXETH15M-26APR131645-45,no,1,99.0,0.0,yes,false,1.0,99.0,1.010101
2026-04-13T14:00:09.871677-07:00,KXSOL15M,KXSOL15M-26APR131700-00,no,1,98.8,0.2,no,false,1.2000000000000028,98.8,1.214575
2026-04-13T14:00:09.874896-07:00,KXETH15M,KXETH15M-26APR131700-00,no,1,96.8,1.2,no,true,3.200000000000003,96.8,3.305785
2026-04-13T14:00:09.886647-07:00,KXBTC15M,KXBTC15M-26APR131700-00,no,1,98.1,0.9,no,false,1.9000000000000057,98.1,1.936799
2026-04-13T14:15:21.272881-07:00,KXETH15M,KXETH15M-26APR131715-15,no,1,98.3,0.7,yes,false,1.7000000000000028,98.3,1.7294
2026-04-13T14:15:21.275121-07:00,KXSOL15M,KXSOL15M-26APR131715-15,no,1,99.0,0.0,yes,false,1.0,99.0,1.010101
2026-04-13T14:15:21.287542-07:00,KXBTC15M,KXBTC15M-26APR131715-15,no,1,97.6,0.4,yes,true,2.4000000000000057,97.6,2.459016
2026-04-13T14:30:09.871834-07:00,KXSOL15M,KXSOL15M-26APR131730-30,no,1,98.2,0.8,no,false,1.7999999999999972,98.2,1.832994
2026-04-13T14:30:09.873897-07:00,KXETH15M,KXETH15M-26APR131730-30,no,1,98.9,0.1,no,false,1.0999999999999943,98.9,1.112235
2026-04-13T14:30:09.876256-07:00,KXXRP15M,KXXRP15M-26APR131730-30,no,1,98.1,0.9,yes,false,1.9000000000000057,98.1,1.936799
2026-04-13T14:30:09.886408-07:00,KXBTC15M,KXBTC15M-26APR131730-30,no,1,98.1,0.9,no,false,1.9000000000000057,98.1,1.936799
2026-04-13T14:45:09.876198-07:00,KXETH15M,KXETH15M-26APR131745-45,no,1,97.89999999999999,0.1,yes,false,2.1000000000000085,97.9,2.145046
2026-04-13T14:45:09.877330-07:00,KXSOL15M,KXSOL15M-26APR131745-45,no,1,98.1,0.9,yes,false,1.9000000000000057,98.1,1.936799
2026-04-13T14:45:09.879078-07:00,KXXRP15M,KXXRP15M-26APR131745-45,no,1,96.0,1.0,yes,true,4.0,96.0,4.166667
2026-04-13T14:45:09.888161-07:00,KXBTC15M,KXBTC15M-26APR131745-45,no,1,97.5,0.5,yes,false,2.5,97.5,2.564103
2026-04-13T15:15:19.870773-07:00,KXETH15M,KXETH15M-26APR131815-15,no,1,98.7,0.3,yes,false,1.2999999999999972,98.7,1.317123
2026-04-13T15:15:19.871494-07:00,KXXRP15M,KXXRP15M-26APR131815-15,no,1,97.39999999999999,0.6,yes,false,2.6000000000000085,97.4,2.669405
2026-04-13T15:15:19.882827-07:00,KXBTC15M,KXBTC15M-26APR131815-15,no,1,96.7,0.3,yes,false,3.299999999999997,96.7,3.412616
